name,age,over_all_rating,nationality,club,best_over_rating,best_position,position,potential,height,weight,foot,growth,market_value,contract,cross,stamina,total_stats,base_stats,weak_foot,skill_moves,attack_work_rate,defence_work_rate,intl_reputation,pace,shooting,passing,dribbling,defense,physical,hits,phys_index,skill_index
Ricardo Carvalho,38,79,Portugal,Portugal,77,CB,CB,79,182.88,78.93,Right,0,0.0,0,48,32,1703,349,3,2,Medium,Medium,3,40,47,60,56,80,66,4,46.0,54.33
Dida,39,75,Brazil,Internacional,75,GK,GK,75,198.12,84.82,Left,0,0.0,0,25,33,1274,409,2,1,Medium,Medium,1,75,74,67,72,39,82,4,63.33,71.0
Simão,33,74,Portugal,RCD Espanyol,75,CAM,LM CAM,74,173.74,63.96,Right,0,1200000.0,0,77,48,1851,373,5,4,Medium,Medium,2,69,71,75,78,29,51,4,56.0,74.67
G. Gattuso,34,78,Italy,FC Sion,77,CDM,CDM CM RM,78,155.45,77.11,Right,0,825000.0,0,55,70,1858,394,3,2,Medium,High,3,59,50,66,62,78,79,15,69.33,59.33
B. Mendy,31,63,France,Stade Brestois 29,64,CB,RB,63,155.75,77.11,Right,0,120000.0,0,61,65,1693,369,3,2,Medium,Medium,2,69,52,56,61,64,67,4,67.0,56.33
M. Owen,32,74,England,Stoke City,74,ST,ST CF,74,176.78,69.85,Right,0,1800000.0,0,66,34,1751,355,4,3,Medium,Medium,2,61,75,67,78,22,52,7,49.0,73.33
F. Lampard,38,78,England,New York City FC,76,CM,CM CDM CAM,78,182.88,88.9,Right,0,575000.0,2,79,55,2022,402,4,3,Medium,Medium,3,43,80,80,73,58,68,14,55.33,77.67
Casillas,38,79,Spain,FC Porto,79,GK,GK,79,185.93,83.91,Left,0,1300000.0,0,13,41,1300,430,2,1,Medium,Medium,4,82,73,60,77,55,83,27,68.67,70.0
E. Davids,39,64,Netherlands,Barnet,69,CDM,CM CDM LM CAM,64,173.74,68.04,Left,0,1000.0,0,59,51,1837,376,3,3,Medium,High,1,52,63,65,63,68,65,7,56.0,63.67
N. Anelka,34,77,France,West Bromwich Albion,76,ST,ST,77,185.93,79.83,Right,0,2100000.0,0,74,69,1867,390,3,3,Medium,Low,3,63,78,71,78,29,71,6,67.67,75.67
A. Gilardino,34,72,Italy,Spezia,71,ST,ST,72,182.88,78.93,Right,0,1600000.0,0,51,54,1694,348,3,2,High,Medium,2,58,71,59,67,29,64,14,58.67,65.67
D. Trezeguet,35,74,France,Newell's Old Boys,74,ST,ST,74,192.02,79.83,Right,0,1100000.0,0,48,44,1716,341,3,3,Medium,Low,2,39,75,61,65,36,65,8,49.33,67.0
G. Barry,38,70,England,West Bromwich Albion,70,CDM,CDM CM,70,182.88,78.02,Left,0,375000.0,0,73,32,1833,367,3,3,Low,Medium,2,31,63,72,66,72,63,7,42.0,67.0
R. Ferdinand,35,75,England,Queens Park Rangers,74,CB,CB,75,195.07,86.18,Right,0,550000.0,0,45,33,1620,353,3,2,Medium,Medium,3,52,42,59,58,77,65,9,50.0,53.0
A. Cassano,33,76,Italy,Sampdoria,78,CAM,CF,76,179.83,79.83,Right,0,3400000.0,0,85,34,1676,337,4,3,Medium,Low,3,38,72,84,81,16,46,6,39.33,79.0
L. Donovan,35,73,United States,Club León,74,CAM,LM ST,73,176.78,69.85,Right,0,1800000.0,0,74,46,1872,387,4,3,Medium,Low,4,65,74,77,72,43,56,5,55.67,74.33
A. Pirlo,38,77,Italy,New York City FC,74,CM,CM CDM,77,155.45,68.04,Right,0,2200000.0,0,88,38,1741,349,4,2,Low,Low,4,33,64,87,73,42,50,15,40.33,74.67
R. van Persie,34,78,Netherlands,Feyenoord,78,CAM,ST CAM,78,188.98,71.21,Left,0,5500000.0,0,74,52,1876,381,3,4,Medium,Low,3,54,80,76,80,34,57,19,54.33,78.67
D. Rommedahl,34,65,Denmark,RKC Waalwijk,67,CAM,RM,65,155.45,74.84,Right,0,150000.0,0,63,55,1658,347,3,3,Medium,Low,1,83,66,63,62,28,45,4,61.0,63.67
T. Rosický,36,79,Czech Republic,Sparta Praha,78,CAM,CAM CM RM,79,155.45,72.12,Right,0,4200000.0,0,77,68,1979,410,3,3,Medium,Medium,2,73,70,79,82,43,63,21,68.0,77.0
S. Parker,35,72,England,Fulham,72,CDM,CDM CM,72,179.83,68.95,Right,0,350000.0,0,67,60,1969,400,3,2,Medium,High,2,55,64,70,70,73,68,4,61.0,68.0
A. Robben,36,80,Netherlands,FC Groningen,81,CAM,RM CAM,80,155.75,79.83,Left,0,5000000.0,0,76,51,1970,407,2,4,Medium,Low,3,74,82,78,86,30,57,309,60.67,82.0
Y. Benayoun,33,76,Israel,Queens Park Rangers,78,CAM,LM CAM RM,76,155.45,69.85,Right,0,1900000.0,0,79,53,1912,396,4,3,High,Medium,2,68,73,78,81,44,52,5,57.67,77.33
S. Eto'o,36,81,Cameroon,Atiker Konyaspor,79,ST,ST,81,155.45,74.84,Right,0,6500000.0,0,69,64,2019,415,3,4,High,Low,3,74,82,74,78,37,70,34,69.33,78.0
Xavi,34,86,Spain,FC Barcelona,85,CAM,CM,86,173.74,67.13,Right,0,15500000.0,0,85,60,2104,431,3,3,Medium,Medium,4,66,72,90,85,60,58,32,61.33,82.33
G. Asamoah,33,66,Germany,SpVgg Greuther Fürth,66,ST,ST CF RW,66,155.75,84.82,Right,0,325000.0,0,70,59,1780,374,3,2,Medium,Low,2,50,67,65,64,51,77,4,62.0,65.33
M. Klose,37,79,Germany,Lazio,77,ST,ST,79,182.88,83.91,Right,0,1300000.0,0,62,53,1770,366,4,2,Medium,Low,4,69,75,61,70,28,63,9,61.67,68.67
M. Gilks,38,64,Scotland,Bolton Wanderers,64,GK,GK,64,185.93,81.19,Right,0,45000.0,0,20,27,1074,351,2,1,Medium,Medium,1,63,64,63,62,35,64,6,51.33,63.0
S. Keita,35,76,Mali,Roma,76,CB,CDM CM,76,182.88,74.84,Left,0,900000.0,0,53,55,1954,413,3,2,Medium,High,3,67,63,70,67,75,71,5,64.33,66.67
O. Hargreaves   B,30,78,England,Manchester City,77,CDM,CDM CM RM RWB,78,155.75,73.03,Right,0,3000000.0,0,76,68,2106,437,4,2,Medium,High,3,77,62,77,74,76,71,9,72.0,71.0
Puyol,35,83,Spain,FC Barcelona,82,CB,CB,83,155.45,79.83,Right,0,1300000.0,0,53,54,1853,390,3,2,Medium,High,3,64,46,60,57,86,77,6,65.0,54.33
W. Brown,36,66,England,Blackburn Rovers,65,CB,CB,66,185.93,77.11,Right,0,0.0,0,49,30,1461,295,3,2,Medium,Medium,2,36,31,52,49,64,63,7,43.0,44.0
J. Terry,36,76,England,Aston Villa,75,CB,CB,76,188.98,89.81,Right,0,1000000.0,0,42,50,1646,338,4,2,Medium,High,3,34,47,57,50,77,73,16,52.33,51.33
A. Smith,36,61,England,Notts County,61,CB,CM CDM ST,61,155.75,81.19,Right,0,80000.0,0,57,40,1666,332,3,2,Medium,Medium,1,36,56,61,59,60,60,4,45.33,58.67
S. Gerrard,36,81,England,LA Galaxy,79,CM,CM CDM,81,182.88,83.01,Right,0,1400000.0,2,86,68,2154,435,3,3,Medium,Medium,3,54,81,83,75,67,75,15,65.67,79.67
P. Robinson,36,69,England,Burnley,68,GK,GK,69,195.07,89.81,Right,0,450000.0,2,20,29,1175,381,3,1,Medium,Medium,2,66,67,74,65,38,71,4,55.33,68.67
D. Kuyt,35,75,Netherlands,Feyenoord,75,ST,CAM,75,182.88,83.91,Right,0,1500000.0,0,77,83,2041,427,2,3,High,High,3,66,76,73,70,65,77,8,75.33,73.0
T. Howard,40,71,United States,Colorado Rapids,70,GK,GK,71,192.02,88.0,Right,0,240000.0,0,16,26,1221,399,3,1,Medium,Medium,3,72,72,72,68,44,71,6,56.33,70.67
D. Van Buyten,35,78,Belgium,FC Bayern München,77,CB,CB,78,201.17,94.8,Right,0,650000.0,0,37,55,1575,332,2,2,Medium,Medium,3,29,58,49,37,79,80,4,54.67,48.0
N. Penneteau,39,73,France,Sporting de Charleroi,73,GK,GK,73,185.93,78.02,Left,0,400000.0,0,11,26,1110,386,3,1,Medium,Medium,2,70,76,66,66,27,81,5,59.0,69.33
J. Ibehre,36,58,England,Cambridge United,58,ST,ST,58,195.07,92.08,Right,0,45000.0,0,47,75,1502,332,2,2,Medium,Low,1,60,54,49,55,39,75,5,70.0,52.67
Valerón,40,74,Spain,UD Las Palmas,74,CAM,CAM CM,74,185.93,76.2,Right,0,0.0,0,72,26,1557,309,4,4,Medium,Low,2,37,59,79,75,23,36,4,33.0,71.0
Hélder Postiga,32,74,Portugal,Rio Ave FC,74,ST,ST,74,155.75,76.2,Right,0,2700000.0,0,60,78,1871,385,3,4,High,High,2,71,72,61,73,34,74,4,74.33,68.67
Ricardo Costa,39,73,Portugal,Boavista FC,73,CB,CB,73,182.88,79.83,Right,0,550000.0,2,41,42,1598,326,3,2,Medium,High,2,44,37,47,52,74,72,5,52.67,45.33
Y. Touré,35,80,Ivory Coast,Olympiacos CFP,78,CM,CM CDM,80,192.02,92.08,Right,0,6000000.0,0,67,54,2073,433,4,4,Medium,Low,4,54,79,79,77,67,77,32,61.67,78.33
Quaresma,36,79,Portugal,Vitória Guimarães,79,RM,RM LM,79,179.83,67.13,Right,0,4200000.0,1,89,57,1928,396,4,5,High,Low,3,74,72,81,83,24,62,151,64.33,78.67
Danny,34,76,Portugal,Clube Sport Marítimo,75,CAM,CAM LM,76,155.45,68.04,Right,0,3900000.0,0,77,61,1892,389,4,4,Medium,Low,3,63,69,77,79,41,60,6,61.33,75.0
Cristiano Ronaldo,35,92,Portugal,Juventus,92,ST,ST LW,92,188.98,83.01,Right,0,46000000.0,1,84,84,2221,464,4,5,High,Low,5,89,93,81,89,35,77,750,83.33,87.67
M. Carrick,35,79,England,Manchester United,78,CM,CDM,79,188.98,73.94,Right,0,3000000.0,0,70,59,1970,398,3,2,Low,Medium,3,44,65,80,72,74,63,8,55.33,72.33
Rogério Ceni,40,75,Brazil,São Paulo,75,GK,GK,75,188.98,88.0,Right,0,0.0,0,25,32,1602,421,2,1,Medium,Medium,2,78,67,90,70,32,84,8,64.67,75.67
R. Cretaro,38,56,Republic of Ireland,Finn Harps,56,CF,CF CAM ST,56,167.64,63.96,Right,0,30000.0,0,55,32,1531,288,4,3,Medium,Medium,1,43,57,55,61,32,40,5,38.33,57.67
L. Toni,38,76,Italy,Hellas Verona,75,ST,ST,76,195.07,88.0,Right,0,650000.0,0,30,34,1541,315,4,2,Medium,Low,3,34,77,53,60,26,65,13,44.33,63.33
J. Riquelme,35,79,Argentina,Boca Juniors,78,CAM,CAM,79,182.88,78.93,Right,0,2500000.0,0,78,49,1885,376,4,4,High,Low,3,52,74,83,80,28,59,11,53.33,79.0
W. Samuel,37,74,Argentina,FC Basel 1893,74,CB,CB,74,182.88,81.19,Left,0,0.0,0,36,28,1560,319,3,2,Low,Medium,2,39,39,54,45,76,66,6,44.33,46.0
D. Pizarro,38,73,Chile,Universidad de Chile,72,CM,CM CDM,73,173.74,64.86,Right,0,1000000.0,0,79,32,1775,350,4,3,Low,Medium,2,35,59,80,74,56,46,4,37.67,71.0
M. Yepes,39,74,Colombia,San Lorenzo de Almagro,74,CB,CB,74,185.93,83.01,Left,0,0.0,0,17,34,1508,303,3,2,Low,High,2,34,36,46,40,77,70,4,46.0,40.67
C. Pizarro,40,74,Peru,SV Werder Bremen,74,ST,ST,74,182.88,83.91,Right,0,0.0,0,62,34,1802,358,4,4,Medium,Low,3,34,76,73,74,37,64,4,44.0,74.33
R. Santa Cruz,38,73,Paraguay,Olimpia Asunción,73,ST,ST,73,188.98,79.83,Right,0,1400000.0,2,58,30,1595,329,3,3,Medium,Medium,3,33,74,61,63,36,62,13,41.67,66.0
Capdevila,36,69,Spain,Lierse SK,70,CDM,LB,69,182.88,78.02,Left,0,0.0,0,80,44,1925,389,3,2,High,Medium,2,56,64,73,65,70,61,5,53.67,67.33
R. Márquez,38,73,Mexico,Club Atlas,72,CB,CB CDM,73,182.88,74.84,Right,0,275000.0,0,51,45,1754,349,3,2,Medium,Medium,3,31,52,64,61,74,67,11,47.67,59.0
Ronaldinho,34,78,Brazil,Querétaro,77,CAM,CAM ST,78,182.88,76.2,Right,0,4099999.9999999995,0,84,41,1875,377,4,5,Low,Low,3,49,72,83,84,28,61,39,50.33,79.67
Zé Roberto,40,74,Brazil,Palmeiras,74,CAM,CAM LB,74,176.78,72.12,Left,0,0.0,0,78,58,2028,420,2,4,High,Medium,2,65,71,76,78,70,60,9,61.0,75.0
S. Ono,38,54,Japan,Hokkaido Consadole Sapporo,55,CAM,CM CAM RM CDM,54,179.83,76.2,Right,0,15000.0,0,56,32,1414,288,4,3,Medium,Low,2,34,53,60,52,39,50,4,38.67,55.0
S. Nakamura,42,65,Japan,Yokohama FC,65,CAM,CAM CF RW,65,155.45,71.21,Left,0,0.0,0,80,34,1674,327,3,3,High,Low,3,30,69,74,67,36,51,83,38.33,70.0
D. Berbatov,34,80,Bulgaria,PAOK,79,ST,ST CAM,80,188.98,74.84,Right,0,7500000.0,0,78,52,1856,379,3,4,Low,Low,3,57,80,80,80,22,60,13,56.33,80.0
A. Cole,37,70,England,Derby County,69,CDM,LB,70,179.83,66.22,Left,0,80000.0,0,73,62,1881,389,2,3,High,Medium,3,63,50,69,71,68,68,6,64.33,63.33
K. Beckerman,38,68,United States,Real Salt Lake,68,CDM,CDM CM,68,155.45,69.85,Right,0,190000.0,0,45,58,1762,352,4,3,Medium,High,1,33,60,62,64,66,67,11,52.67,62.0
D. Beasley,37,68,United States,Houston Dynamo,67,LWB,LB,68,176.78,66.22,Left,0,100000.0,2,63,70,1863,391,4,3,High,Medium,1,74,58,64,66,65,64,4,69.33,62.67
J. Park,32,78,Korea Republic,PSV,77,CAM,CAM RW,78,155.45,73.03,Right,0,4099999.9999999995,0,70,86,1923,408,3,3,High,High,3,76,69,72,79,50,62,6,74.67,73.33
S. Diawara,35,73,Senegal,OGC Nice,72,CB,CB,73,188.98,88.0,Right,0,400000.0,0,46,61,1606,352,2,2,Medium,Medium,3,60,42,55,49,71,75,4,65.33,48.67
S. Ameobi,35,64,Nigeria,Notts County,63,ST,ST,64,192.02,94.8,Right,0,210000.0,0,47,60,1591,323,3,2,High,Low,2,37,63,52,60,36,75,6,57.33,58.33
Z. Ibrahimović,38,83,Sweden,Milan,83,ST,ST,83,198.12,94.8,Right,0,9500000.0,0,68,54,1996,407,4,5,Medium,Low,5,52,88,77,79,34,77,442,61.0,81.33
P. Mexès,33,77,France,Milan,77,CB,CB,77,188.98,82.1,Right,0,3100000.0,0,43,50,1813,394,3,2,Medium,Medium,2,69,55,54,63,78,75,4,64.67,57.33
B. Cheyrou,36,68,France,Toronto FC,67,CDM,CM CDM,68,182.88,78.93,Left,0,275000.0,0,68,45,1870,371,3,2,Medium,Medium,2,43,62,69,69,65,63,4,50.33,66.67
M. Niang,34,67,Senegal,AC Arles Avignon,67,RW,ST,67,155.45,79.83,Right,0,375000.0,0,66,68,1760,371,4,4,High,Low,3,73,67,65,65,31,70,4,70.33,65.67
J. McFadden,33,66,Scotland,Motherwell,66,CAM,ST CAM,66,155.45,78.02,Left,0,425000.0,1,70,58,1745,355,3,3,Medium,Low,1,58,65,67,67,35,63,6,59.67,66.33
Mikel Arteta,33,78,Spain,Arsenal,77,CM,CM CDM,78,179.83,63.96,Right,0,5000000.0,0,77,65,2056,408,4,3,Medium,Medium,3,45,72,81,74,70,66,9,58.67,75.67
Joaquín,38,80,Spain,Real Betis,81,CAM,LM RM,80,155.45,74.84,Right,0,5000000.0,0,84,51,1959,412,3,4,High,Medium,2,69,79,83,80,44,57,92,59.0,80.67
Xabi Alonso,34,82,Spain,FC Bayern München,82,CM,CDM CM,82,182.88,79.83,Right,0,6000000.0,0,79,62,2049,404,4,2,Low,Low,4,33,71,86,74,72,68,13,54.33,77.0
A. Hleb,35,74,Belarus,Krylya Sovetov Samara,73,CAM,CAM LW,74,185.93,73.03,Right,0,1300000.0,0,73,52,1756,368,4,4,High,Low,2,65,64,75,76,31,57,6,58.0,71.67
R. van der Vaart,35,67,Netherlands,Esbjerg fB,67,CAM,CM,67,179.83,73.94,Left,0,325000.0,0,73,27,1720,331,4,3,Low,Low,2,31,68,75,67,44,46,8,34.67,70.0
M. Brighi,37,69,Italy,Empoli,68,CM,CM CDM,69,155.45,77.11,Right,0,275000.0,0,64,55,1872,380,3,3,Medium,High,2,52,64,70,67,63,64,4,57.0,67.0
Raúl,34,81,Spain,FC Schalke 04,81,CAM,CF ST CAM,81,155.75,68.04,Left,0,4300000.0,0,68,72,1924,395,4,3,High,Medium,3,63,79,75,82,31,65,9,66.67,78.67
M. Essien,33,74,Ghana,Panathinaikos FC,72,CDM,CDM CM,74,155.45,84.82,Right,0,1500000.0,0,66,68,1926,405,4,3,Medium,Medium,3,53,66,71,68,70,77,15,66.0,68.33
J. Olsson,35,68,Sweden,Wigan Athletic,67,CB,CB,68,195.07,83.91,Left,0,210000.0,0,35,34,1484,306,3,2,Medium,Medium,2,33,42,48,45,66,72,7,46.33,45.0
M. Rosenberg,36,72,Sweden,Malmö FF,71,ST,ST,72,182.88,81.19,Right,0,1100000.0,0,69,68,1891,389,3,3,Medium,High,1,64,71,69,68,38,79,6,70.33,69.33
B. Hangeland,34,72,Norway,Crystal Palace,72,CB,CB,72,198.12,92.08,Right,0,650000.0,0,34,69,1464,312,3,2,Medium,Medium,2,31,41,48,41,74,77,4,59.0,43.33
M. Pedersen,37,68,Norway,Tromsø IL,68,CM,CM,68,182.88,73.94,Left,0,275000.0,2,72,49,1788,354,5,3,Medium,Medium,2,38,66,72,68,50,60,4,49.0,68.67
S. Proto,37,75,Belgium,Lazio,75,GK,GK,75,182.88,73.94,Right,0,675000.0,0,17,27,1288,416,2,1,Medium,Medium,2,74,71,73,75,47,76,13,59.0,73.0
Gilberto Silva,36,73,Brazil,Atlético Mineiro,73,CB,CB,73,182.88,73.94,Right,0,0.0,0,53,54,1695,348,3,2,Low,Medium,2,34,49,61,58,77,69,5,52.33,56.0
F. Coloccini,38,71,Argentina,San Lorenzo de Almagro,71,CB,CB,71,182.88,83.01,Right,0,475000.0,0,53,34,1742,350,4,2,Low,High,2,39,54,58,60,72,67,15,46.67,57.33
P. Čech,36,81,Czech Republic,Arsenal,79,GK,GK,81,198.12,89.81,Left,0,2400000.0,0,19,32,1161,426,2,1,Medium,Medium,4,77,82,68,79,37,83,13,64.0,76.33
A. McGregor,38,74,Scotland,Rangers FC,74,GK,GK,74,182.88,73.94,Right,0,575000.0,0,11,30,1283,400,3,1,Medium,Medium,2,74,71,66,79,37,73,8,59.0,72.0
K. Kurányi,33,74,Germany,TSG 1899 Hoffenheim,74,ST,ST,74,192.02,88.0,Right,0,2300000.0,0,64,67,1775,380,3,2,High,High,2,64,74,65,67,34,76,5,69.0,68.67
K. Boyd,34,70,Scotland,Kilmarnock,69,ST,ST,70,185.93,83.01,Right,0,925000.0,0,52,46,1648,332,4,2,Medium,Low,1,40,72,57,61,31,71,4,52.33,63.33
D. Forlán,35,78,Uruguay,Uruguay,80,CAM,ST,78,155.75,78.02,Right,0,0.0,0,77,60,1939,400,5,3,High,Medium,3,66,81,79,80,28,66,23,64.0,80.0
O. Deschacht,39,70,Belgium,SV Zulte-Waregem,70,CB,CB LB,70,182.88,81.19,Left,0,240000.0,0,64,66,1588,336,2,2,Medium,High,1,35,45,60,52,75,69,4,56.67,52.33
Fernando Torres,34,77,Spain,Sagan Tosu,76,ST,ST,77,185.93,78.93,Right,0,4700000.0,0,68,54,1852,393,4,3,Medium,Medium,3,70,76,70,76,32,69,29,64.33,74.0
T. Motta,34,80,Italy,Paris Saint-Germain,78,CDM,CDM,80,188.98,82.1,Left,0,4500000.0,0,66,61,1944,390,4,3,Medium,Medium,3,29,62,76,67,76,80,7,56.67,68.33
L. Butelle,37,73,France,Angers SCO,73,GK,GK,73,188.98,83.91,Left,0,400000.0,0,11,28,1095,386,3,1,Medium,Medium,2,74,69,62,75,32,74,4,58.67,68.67
J. Defoe,37,73,England,Rangers FC,73,ST,ST,73,173.74,64.86,Right,0,1400000.0,0,54,52,1764,358,4,3,Medium,Low,2,64,78,60,74,26,56,30,57.33,70.67
D. Bent,33,70,England,Burton Albion,69,ST,ST,70,155.75,73.03,Right,0,1100000.0,0,54,45,1645,337,3,3,Low,Low,2,66,71,52,64,26,58,7,56.33,62.33
S. Cherundolo,34,73,United States,Hannover 96,73,RB,RB,73,176.78,68.95,Right,0,400000.0,0,70,71,1918,396,3,2,Medium,Medium,2,68,48,69,70,73,68,5,69.0,62.33
P. Crouch,37,72,England,Burnley,71,ST,ST,72,204.22,74.84,Right,0,900000.0,0,57,31,1622,326,3,2,Medium,Medium,2,32,73,65,64,35,57,8,40.0,67.33
B. Myhill,35,70,Wales,West Bromwich Albion,69,GK,GK,70,192.02,92.08,Right,0,425000.0,0,11,29,1181,392,2,1,Medium,Medium,1,72,70,69,68,44,69,4,56.67,69.0
T. Cahill,37,70,Australia,Millwall,73,ST,CAM ST CM,70,155.45,63.96,Right,0,475000.0,0,44,54,1904,383,3,3,High,Low,3,60,73,60,67,48,75,6,63.0,66.67
H. Opdal,38,65,Norway,SK Brann,65,GK,GK,65,188.98,91.17,Right,0,50000.0,0,17,27,1153,361,2,1,Medium,Medium,1,62,63,64,65,41,66,6,51.67,64.0
P. Evra,36,75,France,West Ham United,75,CB,LB,75,179.83,74.84,Left,0,775000.0,0,76,62,1944,406,2,3,Medium,High,3,65,51,71,74,76,69,13,65.33,65.33
C. Brunt,35,67,Northern Ireland,Bristol City,67,CM,CM CDM,67,185.93,83.91,Left,0,325000.0,0,83,38,1925,384,2,3,Medium,Medium,2,47,70,75,65,65,62,19,49.0,70.0
E. Jakupović,35,66,Switzerland,Leicester City,66,GK,GK,66,192.02,84.82,Right,0,170000.0,0,11,31,1116,357,2,1,Medium,Medium,1,66,66,64,65,30,66,14,54.33,65.0
M. Marić,36,66,Switzerland,FC Lugano,66,CB,CB,66,188.98,83.01,Right,0,130000.0,0,39,70,1604,324,4,2,Low,Medium,1,32,57,49,45,68,73,4,58.33,50.33
