age,over_all_rating,nationality,club,best_position,potential,height,weight,foot,market_value,contract,cross,stamina,total_stats,weak_foot,skill_moves,attack_work_rate,defence_work_rate,intl_reputation,pace,shooting,passing,dribbling,defense,physical,phys_index,skill_index
35,73,United States,Club León,CAM,73,176.78,69.85,Right,1800000.0,0,74,46,1872,4,3,Medium,Low,4,65,74,77,72,43,56,55.67,74.33
38,77,Italy,New York City FC,CM,77,155.45,68.04,Right,2200000.0,0,88,38,1741,4,2,Low,Low,4,33,64,87,73,42,50,40.33,74.67
34,78,Netherlands,Feyenoord,CAM,78,188.98,71.21,Left,5500000.0,0,74,52,1876,3,4,Medium,Low,3,54,80,76,80,34,57,54.33,78.67
34,65,Denmark,RKC Waalwijk,CAM,65,155.45,74.84,Right,150000.0,0,63,55,1658,3,3,Medium,Low,1,83,66,63,62,28,45,61.0,63.67
36,79,Czech Republic,Sparta Praha,CAM,79,155.45,72.12,Right,4200000.0,0,77,68,1979,3,3,Medium,Medium,2,73,70,79,82,43,63,68.0,77.0
35,72,England,Fulham,CDM,72,179.83,68.95,Right,350000.0,0,67,60,1969,3,2,Medium,High,2,55,64,70,70,73,68,61.0,68.0
36,80,Netherlands,FC Groningen,CAM,80,155.75,79.83,Left,5000000.0,0,76,51,1970,2,4,Medium,Low,3,74,82,78,86,30,57,60.67,82.0
33,76,Israel,Queens Park Rangers,CAM,76,155.45,69.85,Right,1900000.0,0,79,53,1912,4,3,High,Medium,2,68,73,78,81,44,52,57.67,77.33
36,81,Cameroon,Atiker Konyaspor,ST,81,155.45,74.84,Right,6500000.0,0,69,64,2019,3,4,High,Low,3,74,82,74,78,37,70,69.33,78.0
34,86,Spain,FC Barcelona,CAM,86,173.74,67.13,Right,15500000.0,0,85,60,2104,3,3,Medium,Medium,4,66,72,90,85,60,58,61.33,82.33
33,66,Germany,SpVgg Greuther Fürth,ST,66,155.75,84.82,Right,325000.0,0,70,59,1780,3,2,Medium,Low,2,50,67,65,64,51,77,62.0,65.33
37,79,Germany,Lazio,ST,79,182.88,83.91,Right,1300000.0,0,62,53,1770,4,2,Medium,Low,4,69,75,61,70,28,63,61.67,68.67
38,64,Scotland,Bolton Wanderers,GK,64,185.93,81.19,Right,45000.0,0,20,27,1074,2,1,Medium,Medium,1,63,64,63,62,35,64,51.33,63.0
35,76,Mali,Roma,CB,76,182.88,74.84,Left,900000.0,0,53,55,1954,3,2,Medium,High,3,67,63,70,67,75,71,64.33,66.67
30,78,England,Manchester City,CDM,78,155.75,73.03,Right,3000000.0,0,76,68,2106,4,2,Medium,High,3,77,62,77,74,76,71,72.0,71.0
35,83,Spain,FC Barcelona,CB,83,155.45,79.83,Right,1300000.0,0,53,54,1853,3,2,Medium,High,3,64,46,60,57,86,77,65.0,54.33
36,66,England,Blackburn Rovers,CB,66,185.93,77.11,Right,0.0,0,49,30,1461,3,2,Medium,Medium,2,36,31,52,49,64,63,43.0,44.0
36,76,England,Aston Villa,CB,76,188.98,89.81,Right,1000000.0,0,42,50,1646,4,2,Medium,High,3,34,47,57,50,77,73,52.33,51.33
36,61,England,Notts County,CB,61,155.75,81.19,Right,80000.0,0,57,40,1666,3,2,Medium,Medium,1,36,56,61,59,60,60,45.33,58.67
36,81,England,LA Galaxy,CM,81,182.88,83.01,Right,1400000.0,2,86,68,2154,3,3,Medium,Medium,3,54,81,83,75,67,75,65.67,79.67
36,69,England,Burnley,GK,69,195.07,89.81,Right,450000.0,2,20,29,1175,3,1,Medium,Medium,2,66,67,74,65,38,71,55.33,68.67
35,75,Netherlands,Feyenoord,ST,75,182.88,83.91,Right,1500000.0,0,77,83,2041,2,3,High,High,3,66,76,73,70,65,77,75.33,73.0
40,71,United States,Colorado Rapids,GK,71,192.02,88.0,Right,240000.0,0,16,26,1221,3,1,Medium,Medium,3,72,72,72,68,44,71,56.33,70.67
35,78,Belgium,FC Bayern München,CB,78,201.17,94.8,Right,650000.0,0,37,55,1575,2,2,Medium,Medium,3,29,58,49,37,79,80,54.67,48.0
39,73,France,Sporting de Charleroi,GK,73,185.93,78.02,Left,400000.0,0,11,26,1110,3,1,Medium,Medium,2,70,76,66,66,27,81,59.0,69.33
36,58,England,Cambridge United,ST,58,195.07,92.08,Right,45000.0,0,47,75,1502,2,2,Medium,Low,1,60,54,49,55,39,75,70.0,52.67
40,74,Spain,UD Las Palmas,CAM,74,185.93,76.2,Right,0.0,0,72,26,1557,4,4,Medium,Low,2,37,59,79,75,23,36,33.0,71.0
32,74,Portugal,Rio Ave FC,ST,74,155.75,76.2,Right,2700000.0,0,60,78,1871,3,4,High,High,2,71,72,61,73,34,74,74.33,68.67
39,73,Portugal,Boavista FC,CB,73,182.88,79.83,Right,550000.0,2,41,42,1598,3,2,Medium,High,2,44,37,47,52,74,72,52.67,45.33
35,80,Ivory Coast,Olympiacos CFP,CM,80,192.02,92.08,Right,6000000.0,0,67,54,2073,4,4,Medium,Low,4,54,79,79,77,67,77,61.67,78.33
36,79,Portugal,Vitória Guimarães,RM,79,179.83,67.13,Right,4200000.0,1,89,57,1928,4,5,High,Low,3,74,72,81,83,24,62,64.33,78.67
34,76,Portugal,Clube Sport Marítimo,CAM,76,155.45,68.04,Right,3900000.0,0,77,61,1892,4,4,Medium,Low,3,63,69,77,79,41,60,61.33,75.0
35,92,Portugal,Juventus,ST,92,188.98,83.01,Right,46000000.0,1,84,84,2221,4,5,High,Low,5,89,93,81,89,35,77,83.33,87.67
35,79,England,Manchester United,CM,79,188.98,73.94,Right,3000000.0,0,70,59,1970,3,2,Low,Medium,3,44,65,80,72,74,63,55.33,72.33
40,75,Brazil,São Paulo,GK,75,188.98,88.0,Right,0.0,0,25,32,1602,2,1,Medium,Medium,2,78,67,90,70,32,84,64.67,75.67
38,56,Republic of Ireland,Finn Harps,CF,56,167.64,63.96,Right,30000.0,0,55,32,1531,4,3,Medium,Medium,1,43,57,55,61,32,40,38.33,57.67
38,76,Italy,Hellas Verona,ST,76,195.07,88.0,Right,650000.0,0,30,34,1541,4,2,Medium,Low,3,34,77,53,60,26,65,44.33,63.33
35,79,Argentina,Boca Juniors,CAM,79,182.88,78.93,Right,2500000.0,0,78,49,1885,4,4,High,Low,3,52,74,83,80,28,59,53.33,79.0
37,74,Argentina,FC Basel 1893,CB,74,182.88,81.19,Left,0.0,0,36,28,1560,3,2,Low,Medium,2,39,39,54,45,76,66,44.33,46.0
38,73,Chile,Universidad de Chile,CM,73,173.74,64.86,Right,1000000.0,0,79,32,1775,4,3,Low,Medium,2,35,59,80,74,56,46,37.67,71.0
39,74,Colombia,San Lorenzo de Almagro,CB,74,185.93,83.01,Left,0.0,0,17,34,1508,3,2,Low,High,2,34,36,46,40,77,70,46.0,40.67
40,74,Peru,SV Werder Bremen,ST,74,182.88,83.91,Right,0.0,0,62,34,1802,4,4,Medium,Low,3,34,76,73,74,37,64,44.0,74.33
38,73,Paraguay,Olimpia Asunción,ST,73,188.98,79.83,Right,1400000.0,2,58,30,1595,3,3,Medium,Medium,3,33,74,61,63,36,62,41.67,66.0
36,69,Spain,Lierse SK,CDM,69,182.88,78.02,Left,0.0,0,80,44,1925,3,2,High,Medium,2,56,64,73,65,70,61,53.67,67.33
38,73,Mexico,Club Atlas,CB,73,182.88,74.84,Right,275000.0,0,51,45,1754,3,2,Medium,Medium,3,31,52,64,61,74,67,47.67,59.0
34,78,Brazil,Querétaro,CAM,78,182.88,76.2,Right,4099999.9999999995,0,84,41,1875,4,5,Low,Low,3,49,72,83,84,28,61,50.33,79.67
40,74,Brazil,Palmeiras,CAM,74,176.78,72.12,Left,0.0,0,78,58,2028,2,4,High,Medium,2,65,71,76,78,70,60,61.0,75.0
38,54,Japan,Hokkaido Consadole Sapporo,CAM,54,179.83,76.2,Right,15000.0,0,56,32,1414,4,3,Medium,Low,2,34,53,60,52,39,50,38.67,55.0
42,65,Japan,Yokohama FC,CAM,65,155.45,71.21,Left,0.0,0,80,34,1674,3,3,High,Low,3,30,69,74,67,36,51,38.33,70.0
34,80,Bulgaria,PAOK,ST,80,188.98,74.84,Right,7500000.0,0,78,52,1856,3,4,Low,Low,3,57,80,80,80,22,60,56.33,80.0
37,70,England,Derby County,CDM,70,179.83,66.22,Left,80000.0,0,73,62,1881,2,3,High,Medium,3,63,50,69,71,68,68,64.33,63.33
38,68,United States,Real Salt Lake,CDM,68,155.45,69.85,Right,190000.0,0,45,58,1762,4,3,Medium,High,1,33,60,62,64,66,67,52.67,62.0
37,68,United States,Houston Dynamo,LWB,68,176.78,66.22,Left,100000.0,2,63,70,1863,4,3,High,Medium,1,74,58,64,66,65,64,69.33,62.67
32,78,Korea Republic,PSV,CAM,78,155.45,73.03,Right,4099999.9999999995,0,70,86,1923,3,3,High,High,3,76,69,72,79,50,62,74.67,73.33
35,73,Senegal,OGC Nice,CB,73,188.98,88.0,Right,400000.0,0,46,61,1606,2,2,Medium,Medium,3,60,42,55,49,71,75,65.33,48.67
35,64,Nigeria,Notts County,ST,64,192.02,94.8,Right,210000.0,0,47,60,1591,3,2,High,Low,2,37,63,52,60,36,75,57.33,58.33
38,83,Sweden,Milan,ST,83,198.12,94.8,Right,9500000.0,0,68,54,1996,4,5,Medium,Low,5,52,88,77,79,34,77,61.0,81.33
33,77,France,Milan,CB,77,188.98,82.1,Right,3100000.0,0,43,50,1813,3,2,Medium,Medium,2,69,55,54,63,78,75,64.67,57.33
36,68,France,Toronto FC,CDM,68,182.88,78.93,Left,275000.0,0,68,45,1870,3,2,Medium,Medium,2,43,62,69,69,65,63,50.33,66.67
34,67,Senegal,AC Arles Avignon,RW,67,155.45,79.83,Right,375000.0,0,66,68,1760,4,4,High,Low,3,73,67,65,65,31,70,70.33,65.67
33,66,Scotland,Motherwell,CAM,66,155.45,78.02,Left,425000.0,1,70,58,1745,3,3,Medium,Low,1,58,65,67,67,35,63,59.67,66.33
33,78,Spain,Arsenal,CM,78,179.83,63.96,Right,5000000.0,0,77,65,2056,4,3,Medium,Medium,3,45,72,81,74,70,66,58.67,75.67
38,80,Spain,Real Betis,CAM,80,155.45,74.84,Right,5000000.0,0,84,51,1959,3,4,High,Medium,2,69,79,83,80,44,57,59.0,80.67
34,82,Spain,FC Bayern München,CM,82,182.88,79.83,Right,6000000.0,0,79,62,2049,4,2,Low,Low,4,33,71,86,74,72,68,54.33,77.0
35,74,Belarus,Krylya Sovetov Samara,CAM,74,185.93,73.03,Right,1300000.0,0,73,52,1756,4,4,High,Low,2,65,64,75,76,31,57,58.0,71.67
35,67,Netherlands,Esbjerg fB,CAM,67,179.83,73.94,Left,325000.0,0,73,27,1720,4,3,Low,Low,2,31,68,75,67,44,46,34.67,70.0
37,69,Italy,Empoli,CM,69,155.45,77.11,Right,275000.0,0,64,55,1872,3,3,Medium,High,2,52,64,70,67,63,64,57.0,67.0
34,81,Spain,FC Schalke 04,CAM,81,155.75,68.04,Left,4300000.0,0,68,72,1924,4,3,High,Medium,3,63,79,75,82,31,65,66.67,78.67
33,74,Ghana,Panathinaikos FC,CDM,74,155.45,84.82,Right,1500000.0,0,66,68,1926,4,3,Medium,Medium,3,53,66,71,68,70,77,66.0,68.33
35,68,Sweden,Wigan Athletic,CB,68,195.07,83.91,Left,210000.0,0,35,34,1484,3,2,Medium,Medium,2,33,42,48,45,66,72,46.33,45.0
36,72,Sweden,Malmö FF,ST,72,182.88,81.19,Right,1100000.0,0,69,68,1891,3,3,Medium,High,1,64,71,69,68,38,79,70.33,69.33
34,72,Norway,Crystal Palace,CB,72,198.12,92.08,Right,650000.0,0,34,69,1464,3,2,Medium,Medium,2,31,41,48,41,74,77,59.0,43.33
37,68,Norway,Tromsø IL,CM,68,182.88,73.94,Left,275000.0,2,72,49,1788,5,3,Medium,Medium,2,38,66,72,68,50,60,49.0,68.67
37,75,Belgium,Lazio,GK,75,182.88,73.94,Right,675000.0,0,17,27,1288,2,1,Medium,Medium,2,74,71,73,75,47,76,59.0,73.0
36,73,Brazil,Atlético Mineiro,CB,73,182.88,73.94,Right,0.0,0,53,54,1695,3,2,Low,Medium,2,34,49,61,58,77,69,52.33,56.0
38,71,Argentina,San Lorenzo de Almagro,CB,71,182.88,83.01,Right,475000.0,0,53,34,1742,4,2,Low,High,2,39,54,58,60,72,67,46.67,57.33
36,81,Czech Republic,Arsenal,GK,81,198.12,89.81,Left,2400000.0,0,19,32,1161,2,1,Medium,Medium,4,77,82,68,79,37,83,64.0,76.33
38,74,Scotland,Rangers FC,GK,74,182.88,73.94,Right,575000.0,0,11,30,1283,3,1,Medium,Medium,2,74,71,66,79,37,73,59.0,72.0
33,74,Germany,TSG 1899 Hoffenheim,ST,74,192.02,88.0,Right,2300000.0,0,64,67,1775,3,2,High,High,2,64,74,65,67,34,76,69.0,68.67
34,70,Scotland,Kilmarnock,ST,70,185.93,83.01,Right,925000.0,0,52,46,1648,4,2,Medium,Low,1,40,72,57,61,31,71,52.33,63.33
35,78,Uruguay,Uruguay,CAM,78,155.75,78.02,Right,0.0,0,77,60,1939,5,3,High,Medium,3,66,81,79,80,28,66,64.0,80.0
39,70,Belgium,SV Zulte-Waregem,CB,70,182.88,81.19,Left,240000.0,0,64,66,1588,2,2,Medium,High,1,35,45,60,52,75,69,56.67,52.33
34,77,Spain,Sagan Tosu,ST,77,185.93,78.93,Right,4700000.0,0,68,54,1852,4,3,Medium,Medium,3,70,76,70,76,32,69,64.33,74.0
34,80,Italy,Paris Saint-Germain,CDM,80,188.98,82.1,Left,4500000.0,0,66,61,1944,4,3,Medium,Medium,3,29,62,76,67,76,80,56.67,68.33
37,73,France,Angers SCO,GK,73,188.98,83.91,Left,400000.0,0,11,28,1095,3,1,Medium,Medium,2,74,69,62,75,32,74,58.67,68.67
37,73,England,Rangers FC,ST,73,173.74,64.86,Right,1400000.0,0,54,52,1764,4,3,Medium,Low,2,64,78,60,74,26,56,57.33,70.67
33,70,England,Burton Albion,ST,70,155.75,73.03,Right,1100000.0,0,54,45,1645,3,3,Low,Low,2,66,71,52,64,26,58,56.33,62.33
34,73,United States,Hannover 96,RB,73,176.78,68.95,Right,400000.0,0,70,71,1918,3,2,Medium,Medium,2,68,48,69,70,73,68,69.0,62.33
37,72,England,Burnley,ST,72,204.22,74.84,Right,900000.0,0,57,31,1622,3,2,Medium,Medium,2,32,73,65,64,35,57,40.0,67.33
35,70,Wales,West Bromwich Albion,GK,70,192.02,92.08,Right,425000.0,0,11,29,1181,2,1,Medium,Medium,1,72,70,69,68,44,69,56.67,69.0
37,70,Australia,Millwall,ST,70,155.45,63.96,Right,475000.0,0,44,54,1904,3,3,High,Low,3,60,73,60,67,48,75,63.0,66.67
38,65,Norway,SK Brann,GK,65,188.98,91.17,Right,50000.0,0,17,27,1153,2,1,Medium,Medium,1,62,63,64,65,41,66,51.67,64.0
36,75,France,West Ham United,CB,75,179.83,74.84,Left,775000.0,0,76,62,1944,2,3,Medium,High,3,65,51,71,74,76,69,65.33,65.33
35,67,Northern Ireland,Bristol City,CM,67,185.93,83.91,Left,325000.0,0,83,38,1925,2,3,Medium,Medium,2,47,70,75,65,65,62,49.0,70.0
35,66,Switzerland,Leicester City,GK,66,192.02,84.82,Right,170000.0,0,11,31,1116,2,1,Medium,Medium,1,66,66,64,65,30,66,54.33,65.0
36,66,Switzerland,FC Lugano,CB,66,188.98,83.01,Right,130000.0,0,39,70,1604,4,2,Low,Medium,1,32,57,49,45,68,73,58.33,50.33
35,74,Italy,Sassuolo,CB,74,195.07,88.9,Right,550000.0,0,25,32,1440,2,2,Low,High,2,34,38,38,45,77,72,46.0,40.33
35,74,Spain,Deportivo de La Coruña,CB,74,155.45,68.04,Left,1200000.0,0,70,68,1876,3,2,Medium,Medium,2,58,50,66,66,78,73,66.33,60.67
35,74,Togo,Olimpia Asunción,ST,74,195.07,82.1,Right,2600000.0,0,53,51,1766,3,3,Medium,Medium,3,63,73,63,68,29,71,61.67,68.0
36,71,Scotland,Celtic,GK,71,195.07,83.01,Left,400000.0,0,13,25,1182,3,1,Medium,Medium,2,72,70,56,74,35,70,55.67,66.67
33,81,Italy,Palermo,CAM,81,170.69,73.03,Right,5000000.0,0,78,52,2025,4,4,High,Low,3,85,82,79,85,27,60,65.67,82.0
35,82,Italy,Boca Juniors,CB,82,182.88,83.01,Right,7000000.0,0,57,70,2083,4,2,Medium,High,3,59,64,73,69,85,77,68.67,68.67
41,60,England,Crawley Town,CDM,60,179.83,74.84,Right,0.0,0,45,75,1593,3,2,Medium,High,1,34,44,56,57,59,74,61.0,52.33
34,79,Brazil,Paris Saint-Germain,LWB,79,179.83,73.03,Left,2900000.0,0,86,83,2114,2,3,Medium,Medium,2,73,71,79,77,78,74,76.67,75.67
32,74,Netherlands,1. FSV Mainz 05,CDM,74,179.83,72.12,Right,3200000.0,0,55,74,1860,3,2,Medium,High,3,61,51,66,68,72,77,70.67,61.67
32,80,Germany,Arsenal,CB,80,201.17,89.81,Right,8500000.0,0,38,52,1537,3,2,Low,Medium,3,26,41,55,47,84,69,49.0,47.67
38,65,England,Hokkaido Consadole Sapporo,ST,65,192.02,88.9,Left,190000.0,0,61,31,1546,2,3,High,Low,2,30,67,61,60,28,70,43.67,62.67
34,67,Northern Ireland,Birmingham City,GK,67,182.88,73.94,Right,325000.0,0,13,38,1183,3,1,Medium,Medium,1,65,65,71,67,38,65,56.0,67.67
37,70,England,Manchester United,GK,70,195.07,83.01,Right,180000.0,0,19,27,1273,4,1,Medium,Medium,1,70,70,72,69,41,67,54.67,70.33
36,64,England,Wycombe Wanderers,CM,64,176.78,73.03,Right,140000.0,1,57,75,1754,4,2,High,High,1,53,54,63,62,61,68,65.33,59.67
37,72,England,Sheffield United,CB,72,155.75,87.09,Right,625000.0,0,48,30,1714,3,2,Medium,Medium,2,34,44,54,48,75,63,42.33,48.67
47,48,England,Gillingham,GK,48,188.98,86.18,Right,3000.0,3,15,11,852,3,1,Medium,Medium,1,39,52,53,32,13,61,37.0,45.67
33,68,Scotland,Toronto FC,CB,68,188.98,72.12,Right,425000.0,0,32,71,1561,4,2,Medium,High,1,54,34,49,53,68,75,66.67,45.33
34,70,England,Blackburn Rovers,RM,70,155.75,63.96,Left,900000.0,0,76,58,1873,3,3,Medium,Medium,2,61,68,74,71,55,55,58.0,71.0
32,71,England,Derby County,CDM,71,188.98,79.83,Right,1600000.0,0,72,32,1834,5,2,Low,Medium,2,36,68,74,61,68,67,45.0,67.67
34,77,England,Derby County,CM,77,179.83,83.01,Right,4300000.0,0,73,63,2075,3,3,Medium,Medium,4,53,81,80,76,56,75,63.67,79.0
35,69,England,Swansea City,LM,69,173.74,63.96,Right,450000.0,0,70,53,1735,2,3,Medium,High,2,65,64,66,73,40,53,57.0,67.67
35,70,Italy,Ascoli,CAM,70,155.45,73.03,Right,500000.0,0,73,56,1956,3,3,Medium,Medium,2,62,63,73,74,71,62,60.0,70.0
40,57,Canada,AIK,GK,57,188.98,79.83,Left,10000.0,0,17,40,1026,2,1,Medium,Medium,1,57,52,54,56,33,57,51.33,54.0
32,74,Italy,Pescara,CAM,74,179.83,78.93,Right,2500000.0,1,76,54,1962,4,3,High,Medium,2,68,70,76,76,58,59,60.33,74.0
35,77,Norway,Hertha BSC,GK,77,192.02,86.18,Right,2400000.0,0,18,31,1203,4,1,Medium,Medium,2,80,73,71,77,43,80,63.67,73.67
36,68,Scotland,Kilmarnock,RM,68,179.83,68.04,Right,300000.0,0,70,72,1768,4,3,High,Medium,1,69,65,64,71,39,65,68.67,66.67
41,67,Belgium,Standard de Liège,GK,67,155.75,88.0,Left,80000.0,0,9,23,1184,2,1,Medium,Medium,2,64,70,69,64,39,74,53.67,67.67
40,73,Poland,Legia Warszawa,GK,73,195.07,88.0,Right,400000.0,0,12,26,1160,3,1,Medium,Medium,2,73,72,66,71,32,75,58.0,69.67
31,73,Brazil,Club Athletico Paranaense,ST,73,188.98,88.0,Left,1500000.0,0,50,30,1629,2,3,Medium,Low,2,40,78,58,67,32,65,45.0,67.67
38,81,Spain,Athletic Club de Bilbao,ST,81,182.88,78.02,Right,6500000.0,0,54,50,1952,3,3,Medium,Low,3,59,81,65,73,49,75,61.33,73.0
34,82,Spain,Middlesbrough,GK,82,182.88,78.02,Right,13000000.0,0,10,34,1231,3,1,Medium,Medium,3,81,78,75,83,42,84,66.33,78.67
35,65,Austria,FC Schalke 04,GK,65,198.12,92.99,Right,150000.0,0,13,32,1050,2,1,Medium,Medium,1,64,62,60,65,32,67,54.33,62.33
37,72,France,Olympique de Marseille,GK,72,198.12,88.9,Right,325000.0,0,15,32,1137,3,1,Medium,Medium,1,71,72,67,73,39,71,58.0,70.67
34,74,Turkey,SV Darmstadt 98,CM,74,182.88,82.1,Right,1700000.0,0,73,58,1999,3,3,Medium,Medium,2,51,71,76,74,69,69,59.33,73.67
34,69,Switzerland,FC Dallas,CDM,69,182.88,79.83,Left,400000.0,0,73,69,1888,3,2,Medium,Medium,2,55,63,72,66,70,71,65.0,67.0
